학교명,학교급구분,설립형태,소재지도로명주소,위도,경도,변경일자
한성과학고등학교,고등학교,공립,서울특별시 서대문구 통일로 279-79,37.57543617,126.9523709,2025-10-25
서울숭미초등학교,초등학교,공립,서울특별시 도봉구 노해로 179,37.65102344,127.0279443,2025-10-25
서울문성초등학교,초등학교,공립,서울특별시 금천구 시흥대로 460,37.47491196,126.8994492,2025-10-25
서울옥수초등학교,초등학교,공립,서울특별시 성동구 금호로1길 25,37.54552939,127.0218696,2025-10-25
대일고등학교,고등학교,사립,서울특별시 강서구 등촌로35길 90,37.53958612,126.8625699,2025-10-25
서울원당초등학교,초등학교,공립,서울특별시 관악구 봉천로 505,37.48128046,126.9562493,2025-10-25
염창중학교,중학교,공립,서울특별시 강서구 양천로67가길 83,37.55426407,126.8717473,2025-10-25
서울신답초등학교,초등학교,공립,서울특별시 동대문구 천호대로 177,37.57270461,127.0429617,2025-10-25
신도림중학교,중학교,공립,서울특별시 구로구 경인로63길 74,37.51074073,126.8848071,2025-10-25
서울난향초등학교,초등학교,공립,서울특별시 관악구 난향길 9,37.46282189,126.9183368,2025-10-25
서운중학교,중학교,공립,서울특별시 서초구 서운로 115,37.49394851,127.0245382,2025-10-25
문일중학교,중학교,사립,서울특별시 금천구 시흥대로47길 45,37.44891526,126.8987207,2025-10-25
등촌중학교,중학교,사립,서울특별시 강서구 공항대로 484-12,37.55248221,126.8592148,2025-10-25
무학중학교,중학교,공립,서울특별시 성동구 행당로 120,37.55768336,127.0319746,2025-10-25
성동고등학교,고등학교,공립,서울특별시 중구 퇴계로90길 17,37.56411643,127.0223892,2025-10-25
등촌고등학교,고등학교,공립,서울특별시 강서구 공항대로39길 115,37.56294522,126.8450461,2025-10-25
동국대학교사범대학부속중학교,중학교,사립,서울특별시 동대문구 장안벚꽃로 201,37.57804718,127.0751705,2025-10-25
서울청량초등학교,초등학교,공립,서울특별시 동대문구 회기로25길 31,37.5923094,127.0559085,2025-10-25
난우중학교,중학교,공립,서울특별시 관악구 난곡로16길 32,37.46680396,126.9228283,2025-10-25
