정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
GGB124000052,신암중학교,37.55465,127.1313,2025-10-31,25152,11,서울특별시,경기BIS
GGB124000053,삼성광나루아파트,37.5534333,127.1285833,2025-10-31,25153,11,서울특별시,경기BIS
GGB124000054,삼성광나루아파트,37.5533833,127.1288667,2025-10-31,25154,11,서울특별시,경기BIS
GGB124000055,암사역.선사현대아파트,37.5508667,127.12765,2025-10-31,25155,11,서울특별시,경기BIS
GGB124000056,암사역2번출구.암사종합시장,37.5496333,127.1275167,2025-10-31,25156,11,서울특별시,경기BIS
GGB124000057,천호동공원,37.546,127.1259167,2025-10-31,25157,11,서울특별시,경기BIS
GGB124000058,천호동공원,37.5459167,127.1261667,2025-10-31,25158,11,서울특별시,경기BIS
GGB124000059,서울현대요양병원,37.54295,127.1248,2025-10-31,25159,11,서울특별시,경기BIS
GGB124000060,서울현대요양병원,37.5421,127.1248167,2025-10-31,25160,11,서울특별시,경기BIS
GGB124000061,천호역2번출구.현대백화점,37.5402833,127.1238167,2025-10-31,25161,11,서울특별시,경기BIS
GGB124000062,천호역3번출구.현대백화점,37.5399667,127.1239833,2025-10-31,25162,11,서울특별시,경기BIS
GGB124000063,천호역8번출구,37.5360167,127.1227333,2025-10-31,25163,11,서울특별시,경기BIS
GGB124000064,강동구청역1번출구.영파여고,37.532,127.1212833,2025-10-31,25164,11,서울특별시,경기BIS
GGB124000077,강동경희대병원.명일동이마트,37.5545833,127.1567333,2025-10-31,25177,11,서울특별시,경기BIS
GGB124000078,강동아트센터.강동경희대병원,37.5523833,127.1561,2025-10-31,25178,11,서울특별시,경기BIS
GGB124000079,강동아트센터.강동경희대병원후문,37.5510333,127.1564667,2025-10-31,25179,11,서울특별시,경기BIS
GGB124000080,한영중고.한영외고,37.54785,127.1559,2025-10-31,25180,11,서울특별시,경기BIS
GGB124000081,한영중고.한영외고,37.5479167,127.1562667,2025-10-31,25181,11,서울특별시,경기BIS
GGB124000082,길동자연생태공원,37.5390333,127.15255,2025-10-31,25182,11,서울특별시,경기BIS
GGB124000083,길동자연생태공원,37.5391833,127.1529833,2025-10-31,25183,11,서울특별시,경기BIS
GGB124000084,일자산입구.둔촌도서관,37.5318833,127.1496833,2025-10-31,25184,11,서울특별시,경기BIS
GGB124000085,일자산입구.둔촌도서관,37.5315333,127.1498333,2025-10-31,25185,11,서울특별시,경기BIS
GGB124000086,서하남IC입구,37.5176667,127.1433,2025-10-31,25186,11,서울특별시,경기BIS
GGB124000087,동북고등학교.둔촌오륜역,37.51895,127.1402833,2025-10-31,25187,11,서울특별시,경기BIS
GGB124000089,보훈병원,37.5288333,127.1435833,2025-10-31,25190,11,서울특별시,경기BIS
GGB124000090,보훈병원,37.5298667,127.14275,2025-10-31,25191,11,서울특별시,경기BIS
GGB124000091,약수터,37.5320833,127.1417333,2025-10-31,25192,11,서울특별시,경기BIS
GGB124000092,약수터,37.5321667,127.1415333,2025-10-31,25193,11,서울특별시,경기BIS
GGB124000099,보훈회관,37.5264833,127.1453,2025-10-31,25204,11,서울특별시,경기BIS
GGB124000100,보훈회관,37.5262667,127.1456,2025-10-31,25205,11,서울특별시,경기BIS
GGB124000121,명일역3번출구.래미안솔베뉴,37.5519333,127.1442167,2025-10-31,25232,11,서울특별시,경기BIS
GGB124000122,명일역2번출구,37.5521833,127.14395,2025-10-31,25233,11,서울특별시,경기BIS
GGB124000123,명일역1번출구.명일전통시장,37.55035,127.14405,2025-10-31,25234,11,서울특별시,경기BIS
GGB124000124,명일역4번출구.명일전통시장,37.5500667,127.14365,2025-10-31,25235,11,서울특별시,경기BIS
GGB124000125,굽은다리사거리,37.54795,127.1433333,2025-10-31,25236,11,서울특별시,경기BIS
GGB124000126,굽은다리사거리,37.5473167,127.1435333,2025-10-31,25237,11,서울특별시,경기BIS
GGB124000127,십자성마을,37.5435,127.1419833,2025-10-31,25238,11,서울특별시,경기BIS
GGB124000128,십자성마을,37.5430167,127.1421,2025-10-31,25239,11,서울특별시,경기BIS
GGB124000129,길동역1번출구,37.5380167,127.1399333,2025-10-31,25240,11,서울특별시,경기BIS
GGB124000130,길동역3번출구,37.5373667,127.1399667,2025-10-31,25241,11,서울특별시,경기BIS
GGB124000131,서울프라임한방병원,37.5355667,127.13895,2025-10-31,25242,11,서울특별시,경기BIS
GGB124000132,서울프라임한방병원,37.5352,127.1391833,2025-10-31,25243,11,서울특별시,경기BIS
GGB124000133,강동리바트,37.5314167,127.1373333,2025-10-31,25244,11,서울특별시,경기BIS
GGB124000134,동명약국앞,37.5306833,127.1376167,2025-10-31,25245,11,서울특별시,경기BIS
GGB124000135,둔촌동역4번출구,37.5282833,127.1361,2025-10-31,25246,11,서울특별시,경기BIS
GGB124000136,둔촌동역2번출구,37.5276333,127.1365,2025-10-31,25247,11,서울특별시,경기BIS
GGB124000137,한국전력공사강동송파지사,37.5235667,127.1343333,2025-10-31,25248,11,서울특별시,경기BIS
GGB124000138,한국전력공사강동송파지사,37.5248333,127.1354,2025-10-31,25249,11,서울특별시,경기BIS
GGB124000149,고덕현대아파트,37.54925,127.1532833,2025-10-31,25260,11,서울특별시,경기BIS
GGB124000150,한영중고앞사거리,37.5491167,127.1554667,2025-10-31,25261,11,서울특별시,경기BIS
GGB124000151,고덕삼환.주공9단지아파트,37.5492333,127.15155,2025-10-31,25262,11,서울특별시,경기BIS
GGB124000152,고덕삼환.주공9단지아파트,37.5491,127.1521667,2025-10-31,25263,11,서울특별시,경기BIS
GGB124000153,명일여자고등학교,37.5493833,127.1483667,2025-10-31,25264,11,서울특별시,경기BIS
GGB124000154,명일여자고등학교,37.5491333,127.14895,2025-10-31,25265,11,서울특별시,경기BIS
GGB124000155,명일1동주민센터,37.5504,127.1462333,2025-10-31,25266,11,서울특별시,경기BIS
GGB124000156,명일1동주민센터,37.5502667,127.1462667,2025-10-31,25267,11,서울특별시,경기BIS
GGB124000183,상일동동아아파트,37.5458,127.1675167,2025-10-31,25295,11,서울특별시,경기BIS
GGB124000184,상일동동아아파트,37.5456,127.16645,2025-10-31,25296,11,서울특별시,경기BIS
GGB124000185,상일동주몽재활원,37.5459,127.1643,2025-10-31,25297,11,서울특별시,경기BIS
GGB124000186,상일동주몽재활원,37.5457667,127.1636667,2025-10-31,25298,11,서울특별시,경기BIS
GGB124000187,상일동빌라단지,37.54545,127.15915,2025-10-31,25299,11,서울특별시,경기BIS
GGB124000188,상일동빌라단지,37.54565,127.1595833,2025-10-31,25300,11,서울특별시,경기BIS
GGB124000190,중앙보훈병원역1번출구,37.5272,127.14775,2025-10-31,25302,11,서울특별시,경기BIS
GGB124000191,중앙보훈병원역1번출구,37.5272167,127.1480333,2025-10-31,25303,11,서울특별시,경기BIS
GGB124000193,강동첨단업무단지.상일여고입구,37.5494833,127.1732167,2025-10-31,25310,11,서울특별시,경기BIS
GGB124000194,천동초교입구사거리,37.54,127.1410167,2025-10-31,25311,11,서울특별시,경기BIS
GGB124000195,천동초교입구사거리,37.5399833,127.1406833,2025-10-31,25312,11,서울특별시,경기BIS
GGB124000196,강동구청역.농협중앙회,37.52905,127.1200167,2025-10-31,25313,11,서울특별시,경기BIS
GGB124000201,강일동주민센터,37.5660667,127.1739,2025-10-31,25318,11,서울특별시,경기BIS
GGB124000202,강일동주민센터,37.5659,127.1737,2025-10-31,25319,11,서울특별시,경기BIS
GGB124000203,강일리버파크4단지.2단지,37.5684,127.1765,2025-10-31,25320,11,서울특별시,경기BIS
GGB124000204,강일리버파크2단지.4단지,37.5686333,127.17655,2025-10-31,25321,11,서울특별시,경기BIS
GGB124000205,강일고등학교.강일리버파크7단지,37.56505,127.1778833,2025-10-31,25322,11,서울특별시,경기BIS
GGB124000206,강일고등학교.강일리버파크7단지,37.5647,127.1783667,2025-10-31,25323,11,서울특별시,경기BIS
GGB124000209,강일초등학교,37.5650333,127.1758167,2025-10-31,25326,11,서울특별시,경기BIS
GGB124000210,강일초등학교,37.5658333,127.1767667,2025-10-31,25327,11,서울특별시,경기BIS
GGB124000213,강일리버파크4단지.5단지,37.56655,127.1772667,2025-10-31,25334,11,서울특별시,경기BIS
GGB124000214,강일리버파크5단지.4단지,37.5671167,127.1774667,2025-10-31,25335,11,서울특별시,경기BIS
GGB124000215,강일리버파크1단지.3단지,37.5672667,127.1733167,2025-10-31,25336,11,서울특별시,경기BIS
GGB124000216,강일리버파크3단지.1단지,37.5681833,127.1744,2025-10-31,25337,11,서울특별시,경기BIS
GGB124000232,천호우체국,37.5408167,127.1255833,2025-10-31,25616,11,서울특별시,경기BIS
GGB124000233,강동구청,37.5313833,127.1217667,2025-10-31,25617,11,서울특별시,경기BIS
GGB124000236,고분다리시장입구,37.5427333,127.1313167,2025-10-31,25620,11,서울특별시,경기BIS
GGB124000237,고분다리시장입구,37.543,127.1317,2025-10-31,25621,11,서울특별시,경기BIS
GGB124000241,암사1동제1경로당,37.5499833,127.13755,2025-10-31,25625,11,서울특별시,경기BIS
GGB124000258,성덕중고등학교,37.5506667,127.14345,2025-10-31,25643,11,서울특별시,경기BIS
GGB124000259,성덕중고등학교,37.5507833,127.1432833,2025-10-31,25644,11,서울특별시,경기BIS
GGB124000265,강동농협,37.5481,127.1353333,2025-10-31,25650,11,서울특별시,경기BIS
GGB124000268,암사1동제1경로당,37.5501333,127.1375167,2025-10-31,25653,11,서울특별시,경기BIS
GGB124000269,천호초교입구사거리,37.5465,127.1342833,2025-10-31,25654,11,서울특별시,경기BIS
GGB124000272,천호3동주민센터,37.5407167,127.12945,2025-10-31,25657,11,서울특별시,경기BIS
GGB124000273,천호초교입구사거리,37.5461,127.1337833,2025-10-31,25658,11,서울특별시,경기BIS
GGB124000274,천호3동주민센터,37.5408833,127.12935,2025-10-31,25659,11,서울특별시,경기BIS
GGB124000329,강일리버파크10단지.9단지,37.55955,127.1797167,2025-10-31,25329,11,서울특별시,경기BIS
GGB124000330,천호동로데오거리,37.5403833,127.1272833,2025-10-31,25999,11,서울특별시,경기BIS
GGB124000331,성내시장,37.5362,127.1254833,2025-10-31,25998,11,서울특별시,경기BIS
GGB124000332,라움포레아파트,37.5336833,127.1235667,2025-10-31,25997,11,서울특별시,경기BIS
GGB124000333,천호우성아파트,37.5506333,127.13985,2025-10-31,25996,11,서울특별시,경기BIS
GGB124000334,천호우성아파트,37.5504333,127.13925,2025-10-31,25995,11,서울특별시,경기BIS
GGB124000335,천호우체국.로데오거리,37.5406,127.12725,2025-10-31,25994,11,서울특별시,경기BIS
GGB124000338,강일리버파크9단지후문,37.5616833,127.1801333,2025-10-31,25339,11,서울특별시,경기BIS
GGB124000339,강일리버파크9단지후문,37.5617,127.17985,2025-10-31,25340,11,서울특별시,경기BIS
GGB124000341,강일리버파크9단지.10단지,37.55955,127.1794,2025-10-31,25328,11,서울특별시,경기BIS
GGB124000344,강동공영차고지,37.5643167,127.1745667,2025-10-31,25341,11,서울특별시,경기BIS
